S Charleston Blvd,8,5,4,3,6,5,NA,5,2,NA,2250.596995887654
S Constitution Ave,NA,2,1,1,NA,NA,NA,NA,NA,NA,552.4938451653676
S Hartford Ave,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1016.8314701035926
S Lafayette Ave,1,NA,NA,NA,NA,NA,NA,1,NA,NA,843.5121385830414
S Marion Ave,1,1,NA,NA,NA,NA,NA,NA,NA,NA,332.19575477929635
S Oyster Bay Ave,NA,2,4,4,4,6,4,2,5,NA,790.9746367756444
S Wycoff Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.65180530039727
S Yantic Ave,NA,1,NA,NA,1,NA,NA,NA,NA,NA,629.220062265744
Samara St,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,237.56994061356068
Schley Blvd,NA,1,1,1,NA,1,NA,1,1,NA,1243.498597376086
Scott Ave,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,315.25602811166726
Searle St,NA,NA,NA,1,NA,NA,NA,NA,1,NA,84.95880661588878
Sheldon Blvd,NA,NA,NA,NA,1,NA,1,NA,NA,NA,251.14593210399607
Shore Dr,NA,NA,NA,1,NA,NA,1,NA,3,NA,1205.5445619817347
Shorewood Dr,4,3,2,1,8,1,2,5,2,NA,1855.8578147870062
Spruce Ave,3,1,NA,2,NA,1,NA,4,2,NA,1288.1943501658457
State Ave,3,4,3,NA,1,1,4,1,4,NA,326.9734689594077
State Hwy 16,3,1,1,3,NA,5,NA,4,2,NA,2016.861818616746
State Hwy 166,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8320.902448718996
State Hwy 3,21,29,19,8,20,15,9,25,24,4,53373.7244367269
State Hwy 3 SW,4,1,11,6,7,10,10,12,11,NA,5772.991488266674
State Hwy 3 W,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,291.0033812023629
State Hwy 303,46,53,26,20,18,24,17,71,21,2,8710.292532103169
State Hwy 304,48,59,74,81,65,45,35,51,51,4,5094.894574179898
State Hwy 306,8,7,3,3,8,4,5,1,2,1,2534.873047390946
State Hwy 310,54,62,55,67,65,69,54,56,59,15,2952.3945113620252
State Rte 3,4,1,11,6,7,10,10,12,11,NA,5663.270896192999
State Rte 304,47,57,73,79,64,45,35,49,49,4,4631.915334651204
State St,3,4,3,NA,1,1,4,1,4,NA,326.9734689594077
Stewart Rd,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,243.34702973201306
Stonewood Pl,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,86.0096155243038
Sulphur Springs Rd,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,280.94661873979413
Sumac St,NA,1,NA,NA,NA,1,NA,NA,1,NA,64.45545404863464
SW Bay St,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5608.563845870353
SW Lake Flora Rd,NA,NA,NA,NA,NA,NA,NA,1,1,NA,10386.004197601524
SW Puget Sound Blvd,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,329.2947305681947
Sylvan Way,6,11,17,20,20,15,8,3,13,NA,1788.6082774964361
Sylvan Way NE,14,17,20,23,28,19,13,4,14,1,2289.0861483974572
Taft Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.2226537641961
Terrace St,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,402.6990537373993
Terrell Ave,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,205.04791799137024
Tracyton Beach Rd NW,NA,2,2,2,3,NA,1,1,NA,NA,2656.9176113457356
Trenton Ave,NA,NA,NA,1,NA,NA,NA,1,1,NA,1370.0827037667445
Trenton Ave NE,NA,NA,NA,1,NA,NA,NA,1,1,NA,3574.950325104785
Union Ave,3,NA,4,NA,1,NA,1,3,1,NA,687.6605393609675
Veneta Ave,2,4,2,NA,1,5,1,6,2,NA,820.7119452868014
W Belfair Valley Rd,2,2,2,2,1,2,4,1,3,1,9723.198580294109
W Hills Blvd,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,410.7283479622647
W Kitsap Lake Rd,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.2083445107713
W Loxie Eagans Blvd,8,13,15,14,7,6,5,12,10,NA,960.5590575430032
W Marine Dr,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,267.8596022496421
W O St,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,359.755341015236
W State Hwy 16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,890.997930038182
W View Dr,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,400.03512705947725
W Werner Rd,7,2,3,NA,3,4,NA,14,5,NA,2958.3303591009203
Wallin St,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,202.90118254819245
Walnut St,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,619.6209091358169
Warren Av Brg,3,1,2,NA,NA,1,2,4,2,NA,798.2067561985568
Warren Ave,30,40,24,20,22,19,15,52,13,2,1978.669353707359
Washington Ave,4,2,2,2,1,NA,NA,4,2,NA,950.176594679185
Washington Beach Ave,1,1,1,2,1,NA,NA,2,2,NA,290.7407515449419
Werner Rd,6,2,3,NA,3,2,NA,14,5,NA,2258.612768351956
Westview Dr,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,400.03512705947725
Wheaton Way,21,13,10,2,5,5,6,24,11,NA,4420.786153168352
Whitney Ave,NA,1,NA,NA,NA,1,NA,NA,NA,NA,200.2837466313802
Wilbert Ave,1,2,2,3,1,4,2,1,2,2,478.32712295466087
Wilmont St,3,NA,NA,NA,1,1,NA,1,NA,NA,637.8130707468462
Winfield Ave,1,2,1,NA,3,NA,1,1,2,NA,1041.456364289331
Wright Ave,NA,NA,NA,2,NA,1,NA,NA,NA,1,767.6971393637104
Wycoff Ave N,5,1,1,6,1,4,3,3,1,1,1091.397840626076
NA,319,342,307,301,334,231,218,365,236,37,49336.88677783498
