coll_num,hitrun,commercial_inv,passenger_inv,colli_dt,obj_struck,p_dispatch,p_arrive,ped,cyclist,cite_simple,street_primary,street_block,street_secondary,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE,FULLNAME
E706573,FALSE,FALSE,FALSE,2017-08-24T16:52:00Z,NA,2017-08-24T16:53:00Z,2017-08-24T17:01:00Z,FALSE,FALSE,INATTENTION,BURWELL STREE,",",OLYMPIC AVE,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 304
E706573,FALSE,FALSE,FALSE,2017-08-24T16:52:00Z,NA,2017-08-24T16:53:00Z,2017-08-24T17:01:00Z,FALSE,FALSE,INATTENTION,BURWELL STREE,",",OLYMPIC AVE,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Olympic Ave
E706573,FALSE,FALSE,FALSE,2017-08-24T16:52:00Z,NA,2017-08-24T16:53:00Z,2017-08-24T17:01:00Z,FALSE,FALSE,INATTENTION,BURWELL STREE,",",OLYMPIC AVE,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Rte 304
E706576,FALSE,FALSE,FALSE,2017-08-24T17:15:00Z,NA,2017-08-24T17:19:00Z,2017-08-24T19:22:00Z,FALSE,FALSE,INATTENTION,BURWELL STEET,.,CHESTER AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Burwell St
E706576,FALSE,FALSE,FALSE,2017-08-24T17:15:00Z,NA,2017-08-24T17:19:00Z,2017-08-24T19:22:00Z,FALSE,FALSE,INATTENTION,BURWELL STEET,.,CHESTER AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 304
E706576,FALSE,FALSE,FALSE,2017-08-24T17:15:00Z,NA,2017-08-24T17:19:00Z,2017-08-24T19:22:00Z,FALSE,FALSE,INATTENTION,BURWELL STEET,.,CHESTER AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Chester Ave
E706576,FALSE,FALSE,FALSE,2017-08-24T17:15:00Z,NA,2017-08-24T17:19:00Z,2017-08-24T19:22:00Z,FALSE,FALSE,INATTENTION,BURWELL STEET,.,CHESTER AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Rte 304
E707268,FALSE,FALSE,TRUE,2017-08-29T13:28:00Z,NA,2017-08-29T13:54:00Z,2017-08-29T13:58:00Z,FALSE,FALSE,,CASCADE TRL,1936,PERRY AVE,MV Only,NA,2017,13,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E707269,FALSE,FALSE,TRUE,2017-08-30T17:17:00Z,NA,2017-08-30T17:31:00Z,2017-08-30T17:34:00Z,FALSE,FALSE,,WARREN AVE,0,11TH,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E707270,FALSE,FALSE,FALSE,2017-08-31T15:01:00Z,NA,2017-08-31T15:21:00Z,2017-08-31T15:25:00Z,FALSE,FALSE,INATTENTION,KITSAP WAY,",",11TH STREET,MV Only,NA,2017,15,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Kitsap Way
E707270,FALSE,FALSE,FALSE,2017-08-31T15:01:00Z,NA,2017-08-31T15:21:00Z,2017-08-31T15:25:00Z,FALSE,FALSE,INATTENTION,KITSAP WAY,",",11TH STREET,MV Only,NA,2017,15,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 310
E707324,FALSE,FALSE,FALSE,2017-08-30T16:24:00Z,NA,2017-08-30T16:24:00Z,2017-08-30T16:36:00Z,FALSE,FALSE,FOLLOWING TOO CLOSE,SB SR3,NA,AUSTIN DR,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 3
E707326,FALSE,FALSE,FALSE,2017-08-30T16:05:00Z,ROADWAY DITCH,2017-08-30T16:07:00Z,2017-08-30T16:25:00Z,FALSE,FALSE,,SR 3,NA,NA,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 3 SW
E707326,FALSE,FALSE,FALSE,2017-08-30T16:05:00Z,ROADWAY DITCH,2017-08-30T16:07:00Z,2017-08-30T16:25:00Z,FALSE,FALSE,,SR 3,NA,NA,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Rte 3
E707880,FALSE,FALSE,TRUE,2017-09-02T12:30:00Z,NA,2017-09-02T12:32:00Z,2017-09-02T12:38:00Z,FALSE,FALSE,INATTENTION,6TH,1000,WARREN,MV Only,NA,2017,12,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 303
E707880,FALSE,FALSE,TRUE,2017-09-02T12:30:00Z,NA,2017-09-02T12:32:00Z,2017-09-02T12:38:00Z,FALSE,FALSE,INATTENTION,6TH,1000,WARREN,MV Only,NA,2017,12,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Warren Ave
E707881,FALSE,FALSE,FALSE,2017-09-03T14:04:00Z,NA,2017-09-03T14:06:00Z,2017-09-03T14:15:00Z,FALSE,FALSE,NO INSURANCE,WARREN AVE,1200,12TH STREET,MV Only,NA,2017,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E708228,FALSE,FALSE,FALSE,2017-09-01T16:16:00Z,NA,2017-09-01T16:23:00Z,2017-09-01T16:27:00Z,FALSE,FALSE,,11TH STREET,1200,VENETA AVE,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,11th St
E708229,FALSE,FALSE,TRUE,2017-09-02T17:21:00Z,NA,2017-09-02T17:21:00Z,2017-09-02T17:27:00Z,FALSE,FALSE,NO INSURANCE,SR304,-,FARRAGUT ST.,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Cambrian Ave S
E708229,FALSE,FALSE,TRUE,2017-09-02T17:21:00Z,NA,2017-09-02T17:21:00Z,2017-09-02T17:27:00Z,FALSE,FALSE,NO INSURANCE,SR304,-,FARRAGUT ST.,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,S Cambrian Ave
E708230,FALSE,FALSE,FALSE,2017-09-04T10:52:00Z,METAL SIGN POST,2017-09-04T10:52:00Z,2017-09-04T11:00:00Z,FALSE,FALSE,,WHEATON WAY,1800,MOUNTAIN VIEW DR,MV Only,NA,2017,10,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Wheaton Way
E708231,FALSE,FALSE,FALSE,2017-09-03T02:17:00Z,NA,2017-09-03T02:18:00Z,2017-09-03T02:20:00Z,FALSE,FALSE,,10TH ST,1510,VENETA AV,MV Only,NA,2017,2,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton,NA
E708232,FALSE,FALSE,FALSE,2017-09-04T11:50:00Z,NA,2017-09-04T11:50:00Z,2017-09-04T11:55:00Z,FALSE,FALSE,NO/SUSP LICENSE/ENDORSEMENT,WHEATON WAY,3900,HANFORD AVE,MV Only,NA,2017,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E708716,FALSE,FALSE,FALSE,2017-09-01T15:13:00Z,NA,2017-09-01T15:17:00Z,2017-09-01T15:23:00Z,FALSE,FALSE,FAIL TO OBEY TRAFFIC SIGN/DEVICE/RED LIGHT,WHEATON WAY,",",HOLLIS STREET,MV Only,NA,2017,15,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E708717,FALSE,FALSE,TRUE,2017-09-05T07:40:00Z,NA,2017-09-05T07:47:00Z,2017-09-05T07:49:00Z,FALSE,FALSE,"INATTENTION, INATTENTION",KITSAP WAY,",",MARINE DR,MV Only,NA,2017,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Kitsap Way
E708717,FALSE,FALSE,TRUE,2017-09-05T07:40:00Z,NA,2017-09-05T07:47:00Z,2017-09-05T07:49:00Z,FALSE,FALSE,"INATTENTION, INATTENTION",KITSAP WAY,",",MARINE DR,MV Only,NA,2017,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 310
E708717,FALSE,FALSE,TRUE,2017-09-05T07:40:00Z,NA,2017-09-05T07:47:00Z,2017-09-05T07:49:00Z,FALSE,FALSE,"INATTENTION, INATTENTION",KITSAP WAY,",",MARINE DR,MV Only,NA,2017,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Adele Ave
E708717,FALSE,FALSE,TRUE,2017-09-05T07:40:00Z,NA,2017-09-05T07:47:00Z,2017-09-05T07:49:00Z,FALSE,FALSE,"INATTENTION, INATTENTION",KITSAP WAY,",",MARINE DR,MV Only,NA,2017,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Marine Dr
E709035,TRUE,FALSE,TRUE,2017-08-11T08:00:00Z,NA,2017-08-11T18:15:00Z,2017-08-11T20:00:00Z,FALSE,FALSE,,BURWELL STREET,1225,STATE STREET,MV Only,NA,2017,8,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E709047,FALSE,FALSE,FALSE,2017-09-06T22:25:00Z,BUILDING,2017-09-06T22:26:00Z,2017-09-06T22:27:00Z,FALSE,FALSE,FAIL TO STOP,11TH ST,NA,HEWITT AVENUE,MV Only,NA,2017,22,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton,NA
E709396,FALSE,FALSE,TRUE,2017-09-07T14:17:00Z,CONCRETE/JERSEY BARRIER,2017-09-07T14:17:00Z,2017-09-07T14:34:00Z,FALSE,FALSE,IMPROPER LANE USE/CHANGE,NB SR 303,NA,NE RIDDLE RD,MV Only,NA,2017,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E709603,TRUE,FALSE,FALSE,2017-09-06T11:22:00Z,NA,2017-09-06T11:26:00Z,2017-09-06T11:46:00Z,FALSE,FALSE,FOLLOWING TOO CLOSE,AUTO CENTER WAY,",",KITSAP WAY,MV Only,NA,2017,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Auto Center Way
