Colli_Rpt_Num_Colli_Rpt_Num,hitrun,colli_dt,obj_struck,ped,cyclist,cite_simple,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE
EA24503,FALSE,3/15/2020 12:45:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,12,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA24589,FALSE,3/4/2020 5:19:00 PM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,17,day 0600-1759,FALSE,FALSE,FALSE,Central Kitsap UGA
EA24590,TRUE,3/6/2020 9:01:00 PM,NA,FALSE,FALSE,DUI,Car Only,NA,2020,21,night 1800-0559,TRUE,FALSE,FALSE,Central Kitsap UGA
EA24592,FALSE,3/9/2020 7:59:00 AM,NA,FALSE,FALSE,IMPROPER LANE USE/CHANGE,Car Only,NA,2020,7,day 0600-1759,FALSE,FALSE,FALSE,City of Poulsbo
EA24640,FALSE,3/5/2020 6:40:00 AM,"METAL SIGN POST, CONCRETE BLOCK",FALSE,TRUE,"VEH ASSAULT, VEH ASSAULT",Includes Ped or Cyclist,Includes Cyclist,2020,6,day 0600-1759,FALSE,FALSE,FALSE,Bremerton West UGA
EA24641,FALSE,3/17/2020 4:10:00 PM,NA,FALSE,FALSE,"FOLLOWING TOO CLOSE, FOLLOWING TOO CLOSE",Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,Bremerton West UGA
EA24706,FALSE,3/16/2020 12:10:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,12,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA24707,FALSE,3/17/2020 11:10:00 AM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2020,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA24769,FALSE,3/9/2020 4:01:00 PM,NA,FALSE,FALSE,DUI,Car Only,NA,2020,16,day 0600-1759,TRUE,FALSE,FALSE,Central Kitsap UGA
EA24772,FALSE,3/17/2020 9:15:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,21,night 1800-0559,FALSE,FALSE,FALSE,NA
EA24817,TRUE,3/10/2020 12:25:00 PM,NONE,FALSE,FALSE,,Car Only,NA,2020,12,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA24937,FALSE,3/17/2020 10:33:00 PM,"DITCH, MAILBOX",FALSE,FALSE,DUI,Car Only,NA,2020,22,night 1800-0559,TRUE,FALSE,FALSE,Other
EA24938,FALSE,3/18/2020 11:08:00 AM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2020,11,day 0600-1759,FALSE,FALSE,FALSE,Other
EA24939,FALSE,3/19/2020 8:57:00 AM,UTILITY POLE,FALSE,FALSE,INATTENTION,Car Only,NA,2020,8,day 0600-1759,FALSE,FALSE,FALSE,Other
EA25058,FALSE,3/19/2020 6:30:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,18,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton
EA25105,FALSE,3/17/2020 1:14:00 PM,TREE OR STUMP,FALSE,FALSE,"NO/SUSP LICENSE/ENDORSEMENT, NO INSURANCE",Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,City of Bainbridge Island
EA25163,FALSE,3/19/2020 5:36:00 PM,EARTH BANK OR LEDGE,FALSE,FALSE,"NEGLIGENT, NEGLIGENT, NEGLIGENT",Car Only,NA,2020,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bainbridge Island
EA25270,FALSE,3/18/2020 5:05:00 AM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,5,night 1800-0559,FALSE,FALSE,FALSE,Central Kitsap UGA
EA25271,FALSE,3/18/2020 11:51:00 AM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,11,day 0600-1759,FALSE,FALSE,FALSE,Other
EA25288,FALSE,3/19/2020 1:31:00 PM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,Other
EA25398,FALSE,3/15/2020 9:23:00 PM,FENCE,FALSE,FALSE,NEGLIGENT,Car Only,NA,2020,21,night 1800-0559,FALSE,FALSE,FALSE,Central Kitsap UGA
EA25399,FALSE,3/9/2020 3:50:00 PM,NA,FALSE,FALSE,SPEED/TOO FAST,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,TRUE,City of Bremerton
EA25400,FALSE,3/17/2020 12:46:00 AM,CONCRETE/JERSEY BARRIER,FALSE,FALSE,SPEED/TOO FAST,Car Only,NA,2020,0,night 1800-0559,FALSE,FALSE,TRUE,City of Bremerton
EA25401,FALSE,3/20/2020 7:24:00 AM,TREE OR STUMP,FALSE,FALSE,OFF ROAD,Car Only,NA,2020,7,day 0600-1759,FALSE,FALSE,FALSE,Other
EA25443,FALSE,3/20/2020 8:35:00 AM,NA,FALSE,FALSE,,Car Only,NA,2020,8,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA25444,FALSE,3/21/2020 3:23:00 PM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA25459,FALSE,3/21/2020 3:46:00 PM,TREE OR STUMP,FALSE,FALSE,,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Other
EA25502,FALSE,3/22/2020 5:41:00 AM,UTILITY POLE,FALSE,FALSE,,Car Only,NA,2020,5,night 1800-0559,FALSE,FALSE,FALSE,Other
EA25581,FALSE,3/22/2020 8:41:00 PM,NA,FALSE,FALSE,"NO INSURANCE, NONE",Car Only,NA,2020,20,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton
EA25613,FALSE,3/20/2020 6:52:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,18,night 1800-0559,FALSE,FALSE,FALSE,Central Kitsap UGA
EA25614,FALSE,3/20/2020 3:56:00 PM,NA,FALSE,FALSE,"FOLLOWING TOO CLOSE, FOLLOWING TOO CLOSE, FOLLOWING TOO CLOSE, FOLLOWING TOO CLOSE",Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Kingston UGA
EA25627,FALSE,3/17/2020 4:07:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,Bremerton West UGA
EA25732,FALSE,3/16/2020 1:52:00 PM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,Central Kitsap UGA
EA25733,TRUE,3/20/2020 4:23:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,Gorst UGA
EA25734,FALSE,3/22/2020 9:10:00 AM,NA,FALSE,FALSE,"FAIL TO YIELD, FAIL TO YIELD, NO/SUSP LICENSE/ENDORSEMENT",Car Only,NA,2020,9,day 0600-1759,FALSE,FALSE,FALSE,Port Orchard UGA
EA25735,FALSE,3/16/2020 7:00:00 PM,CABLE BARRIER,FALSE,FALSE,"IMPROPER PASSING, IMPROPER PASSING, IMPROPER PASSING",Car Only,NA,2020,19,night 1800-0559,FALSE,FALSE,FALSE,Other
EA25748,TRUE,3/23/2020 4:20:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA25749,FALSE,3/18/2020 7:29:00 AM,NA,FALSE,FALSE,,Car Only,NA,2020,7,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA25828,FALSE,3/23/2020 9:00:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,21,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton
EA25865,FALSE,3/17/2020 4:10:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA26109,FALSE,3/19/2020 12:03:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,12,day 0600-1759,FALSE,FALSE,FALSE,Other
EA26261,FALSE,3/26/2020 2:30:00 AM,ROADWAY DITCH,FALSE,FALSE,,Car Only,NA,2020,2,night 1800-0559,FALSE,FALSE,FALSE,Other
EA26262,FALSE,3/26/2020 3:45:00 AM,EARTH BANK OR LEDGE,FALSE,FALSE,,Car Only,NA,2020,3,night 1800-0559,FALSE,FALSE,FALSE,Other
EA26307,FALSE,3/25/2020 5:52:00 PM,NA,FALSE,FALSE,NEGLIGENT,Car Only,NA,2020,17,day 0600-1759,FALSE,FALSE,FALSE,Other
EA26312,FALSE,3/19/2020 6:25:00 PM,PUGET SOUND ENERGY LIGHT POST,FALSE,FALSE,,Car Only,NA,2020,18,night 1800-0559,FALSE,FALSE,FALSE,City of Poulsbo
EA26313,FALSE,3/25/2020 7:31:00 AM,NA,FALSE,FALSE,,Car Only,NA,2020,7,day 0600-1759,FALSE,FALSE,FALSE,City of Poulsbo
EA26337,FALSE,3/18/2020 8:00:00 PM,NA,TRUE,FALSE,,Includes Ped or Cyclist,Includes Ped,2020,20,night 1800-0559,FALSE,FALSE,FALSE,Other
